source	source_key	text	translate	type	level	transcription	example	example_ru	memory_hint	topics	forms
oxford3000	oxford3000:like:preposition:1	like	как; подобно	preposition	A1	[laɪk]	She sings like a professional.	Она поёт как профессионал.		grammar,communication	
oxford3000	oxford3000:foot:noun:1	foot	ступня; фут	noun	A1	[fʊt]	My left foot hurts.	У меня болит левая ступня.		body,health	feet
oxford3000	oxford3000:homework:noun:1	homework	домашнее задание	noun	A1	[ˈhəʊmwɜːk]	I finished my homework after dinner.	Я закончил домашнее задание после ужина.		education,daily life	
oxford3000	oxford3000:like:verb:1	like	нравиться; любить	verb	A1	[laɪk]	I like this song.	Мне нравится эта песня.		communication,daily life	likes,liked,liking
oxford3000	oxford3000:football:noun:1	football	футбол	noun	A1	[ˈfʊtbɔːl]	We play football on Saturday.	Мы играем в футбол в субботу.		sport,daily life	footballs
oxford3000	oxford3000:hope:verb:1	hope	надеяться	verb	A1	[həʊp]	I hope you feel better soon.	Я надеюсь, что тебе скоро станет лучше.		communication,emotions	hopes,hoped,hoping
oxford3000	oxford3000:neighbour:noun:1	neighbour	сосед; соседка	noun	A1	[ˈneɪbə(r)]	Our neighbour is very friendly.	Наш сосед очень дружелюбный.		people,home	neighbours
oxford3000	oxford3000:for:preposition:1	for	для; за; в течение	preposition	A1	[fə(r)]	This present is for you.	Этот подарок для тебя.		grammar,communication	
oxford3000	oxford3000:horse:noun:1	horse	лошадь	noun	A1	[hɔːs]	The horse is running in the field.	Лошадь бежит по полю.		animals,nature	horses
oxford3000	oxford3000:lion:noun:1	lion	лев	noun	A1	[ˈlaɪən]	A lion is a strong animal.	Лев — сильное животное.		animals,nature	lions
oxford3000	oxford3000:list:verb:1	list	перечислять; вносить в список	verb	A1	[lɪst]	List three things you need.	Перечисли три вещи, которые тебе нужны.		education,communication	lists,listed,listing
oxford3000	oxford3000:form:verb:1	form	образовывать; формировать	verb	A1	[fɔːm]	Clouds form in the sky.	Облака образуются в небе.		education,nature	forms,formed,forming
oxford3000	oxford3000:news:noun:1	news	новости	noun	A1	[njuːz]	I read the news every morning.	Я читаю новости каждое утро.		communication,daily life	
oxford3000	oxford3000:forty:number:1	forty	сорок	number	A1	[ˈfɔːti]	There are forty chairs in the hall.	В зале сорок стульев.		numbers	
oxford3000	oxford3000:little:adjective:1	little	маленький; небольшой	adjective	A1	[ˈlɪtl]	They live in a little house.	Они живут в маленьком доме.		daily life,home	littler,littlest
oxford3000	oxford3000:little:determiner:1	little	мало; немного	determiner	A1	[ˈlɪtl]	There is little time left.	Осталось мало времени.		grammar,time	
oxford3000	oxford3000:little:pronoun:1	little	мало; небольшое количество	pronoun	A1	[ˈlɪtl]	Little was known about the plan.	О плане было мало что известно.		grammar,communication	
oxford3000	oxford3000:newspaper:noun:1	newspaper	газета	noun	A1	[ˈnjuːzpeɪpə(r)]	My father reads a newspaper at breakfast.	Мой отец читает газету за завтраком.		communication,daily life	newspapers
oxford3000	oxford3000:four:number:1	four	четыре	number	A1	[fɔː(r)]	I have four pencils.	У меня четыре карандаша.		numbers	
oxford3000	oxford3000:hour:noun:1	hour	час	noun	A1	[ˈaʊə(r)]	The lesson lasts one hour.	Урок длится один час.		time,education	hours
oxford3000	oxford3000:live:verb:1	live	жить	verb	A1	[lɪv]	I live near the park.	Я живу рядом с парком.		home,daily life	lives,lived,living
oxford3000	oxford3000:next:adjective:1	next	следующий; ближайший	adjective	A1	[nekst]	The next train leaves at six.	Следующий поезд отправляется в шесть.		time,travel	
oxford3000	oxford3000:next:adverb:1	next	затем; потом; дальше	adverb	A1	[nekst]	What happened next?	Что случилось потом?		time,communication	
oxford3000	oxford3000:fourteen:number:1	fourteen	четырнадцать	number	A1	[ˌfɔːˈtiːn]	She is fourteen years old.	Ей четырнадцать лет.		numbers,people	
oxford3000	oxford3000:next to:preposition:1	next to	рядом с; около	preposition	A1	[ˈnekst tə]	The bank is next to the hotel.	Банк находится рядом с отелем.		place,directions	
oxford3000	oxford3000:fourth:number:1	fourth	четвёртый	number	A1	[fɔːθ]	This is the fourth page.	Это четвёртая страница.		numbers,education	
