source	source_key	text	translate	type	level	transcription	example	example_ru	memory_hint	topics	forms
core5000	core5000:notion:noun:1	notion	понятие; представление	noun	B2	[ˈnəʊʃən]	The notion is important.	Это важно: понятие; представление.	Notion = понятие/представление.	education,communication	notions
core5000	core5000:numerous:adjective:1	numerous	многочисленный	adjective	B2	[ˈnjuːmərəs]	This is numerous.	Это можно описать как: многочисленный.	Numerous связано с number — число. Numerous = многочисленные.	education,communication	
core5000	core5000:objective:noun:1	objective	цель; задача	noun	B2	[əbˈdʒektɪv]	The objective is important.	Это важно: цель; задача.	Objective может быть noun = цель и adjective = объективный.	work,education	objectives
core5000	core5000:offline:adjective:1	offline	офлайн; без подключения	adjective	A2	[ˌɒfˈlaɪn]	This is offline.	Это можно описать как: офлайн; без подключения.	Offline = off + line: не подключённый к сети.	IT,technology	
core5000	core5000:omit:verb:1	omit	пропускать; не включать	verb	B2	[əˈmɪt]	We need to omit it.	Нужно выполнить действие: пропускать; не включать.	Omit = не включить/пропустить в тексте или списке.	education,work	omits,omitted,omitting
core5000	core5000:ongoing:adjective:1	ongoing	продолжающийся	adjective	B2	[ˈɒnɡəʊɪŋ]	This is ongoing.	Это можно описать как: продолжающийся.	Ongoing = on + going: процесс всё ещё идёт.	time,work	
core5000	core5000:operator:noun:1	operator	оператор	noun	B1	[ˈɒpəreɪtə]	The operator is important.	Это важно: оператор.	Operator почти как “оператор”. В программировании operator = оператор действия.	work,IT	operators
core5000	core5000:opponent:noun:1	opponent	соперник; оппонент	noun	B1	[əˈpəʊnənt]	The opponent is important.	Это важно: соперник; оппонент.	Opponent почти как “оппонент”.	sport,communication	opponents
core5000	core5000:optional:adjective:1	optional	необязательный; дополнительный	adjective	B1	[ˈɒpʃənəl]	This is optional.	Это можно описать как: необязательный; дополнительный.	Optional связано с option — вариант. Optional = необязательный.	IT,education	
core5000	core5000:origin:noun:1	origin	происхождение; начало	noun	B1	[ˈɒrɪdʒɪn]	The origin is important.	Это важно: происхождение; начало.	Origin связано с original — первоначальный.	education,history	origins
core5000	core5000:outcome:noun:1	outcome	результат; исход	noun	B2	[ˈaʊtkʌm]	The outcome is important.	Это важно: результат; исход.	Outcome = out + come: то, что вышло в итоге.	work,communication	outcomes
core5000	core5000:outline:noun:1	outline	план; контур	noun	B1	[ˈaʊtlaɪn]	The outline is important.	Это важно: план; контур.	Outline = out + line: внешняя линия, контур; затем план текста.	education,art	outlines
