source	source_key	text	translate	type	level	transcription	example	example_ru	memory_hint	topics	forms
core5000	core5000:correlation:noun:1	correlation	корреляция; взаимосвязь	noun	B2	[ˌkɒrəˈleɪʃən]	There is a correlation between sleep and memory.	Есть взаимосвязь между сном и памятью.	Correlation почти как “корреляция”: связь между двумя явлениями.	science,education	correlations
core5000	core5000:costume:noun:1	costume	костюм; наряд	noun	B1	[ˈkɒstjuːm]	She wore a pirate costume.	Она надела костюм пирата.	Costume = наряд для роли, праздника или сцены.	clothes,art	costumes
core5000	core5000:council:noun:1	council	совет; орган управления	noun	B2	[ˈkaʊnsəl]	The city council approved the plan.	Городской совет одобрил план.	Council = совет/орган управления. Не путать с counsel = совет как рекомендация.	society,work	councils
core5000	core5000:counsel:noun:1	counsel	совет; консультировать	noun	B2	[ˈkaʊnsəl]	He asked for legal counsel.	Он попросил юридическую консультацию.	Counsel = совет/консультация; звучит как council, но смысл другой.	society,work	
core5000	core5000:counter:noun:1	counter	стойка; счётчик	noun	B1	[ˈkaʊntə]	Leave the keys on the counter.	Оставь ключи на стойке.	Counter = стойка, а в IT/статистике счётчик.	shopping,IT	counters
core5000	core5000:courtyard:noun:1	courtyard	двор	noun	B2	[ˈkɔːtjɑːd]	The hotel has a quiet courtyard.	В отеле есть тихий двор.	Courtyard = court + yard: внутренний двор.	home,travel	courtyards
core5000	core5000:coverage:noun:1	coverage	освещение; покрытие	noun	B2	[ˈkʌvərɪdʒ]	The story received wide media coverage.	Эта история получила широкое освещение в СМИ.	Coverage связано с cover: покрывать тему или территорию.	media,technology	
core5000	core5000:craft:noun:1	craft	ремесло; мастерить	noun	B1	[krɑːft]	Wood carving is a traditional craft.	Резьба по дереву — традиционное ремесло.	Craft = ремесло/мастерство, а также делать вручную.	art,work	crafts
core5000	core5000:crash:noun:1	crash	авария; сбой	noun	B1	[kræʃ]	The app closed after a crash.	Приложение закрылось после сбоя.	Crash = резкая авария или программный сбой.	IT,transport	crashes
core5000	core5000:crawl:verb:1	crawl	ползти	verb	B1	[krɔːl]	The baby learned to crawl.	Малыш научился ползать.	Crawl = медленно двигаться, ползти. В IT crawler = программа-обходчик.	body,IT	crawls,crawled,crawling
core5000	core5000:creature:noun:1	creature	существо	noun	B1	[ˈkriːtʃə]	A strange creature appeared in the story.	В истории появилось странное существо.	Creature связано с create: созданное/живое существо.	animals,art	creatures
core5000	core5000:creditor:noun:1	creditor	кредитор	noun	B2	[ˈkredɪtə]	The company paid its creditors.	Компания выплатила деньги кредиторам.	Creditor почти как “кредитор”: тот, кому должны деньги.	money,business	creditors
core5000	core5000:creek:noun:1	creek	ручей	noun	B2	[kriːk]	A small creek runs behind the house.	За домом течёт маленький ручей.	Creek = маленькая река/ручей.	nature,travel	creeks
core5000	core5000:criterion:noun:1	criterion	критерий	noun	B2	[kraɪˈtɪəriən]	Price is not the only criterion.	Цена — не единственный критерий.	Criterion почти как “критерий”. Множественное число: criteria.	education,work	criteria
core5000	core5000:critique:noun:1	critique	критический разбор	noun	B2	[krɪˈtiːk]	The teacher gave a detailed critique.	Учитель дал подробный разбор.	Critique = критический анализ, не просто ругань.	education,art	critiques
core5000	core5000:crop:noun:1	crop	урожай; обрезать	noun	B1	[krɒp]	The crop was damaged by rain.	Урожай был повреждён дождём.	Crop = урожай, а в редакторе crop = обрезать изображение.	nature,IT	crops
core5000	core5000:cruise:noun:1	cruise	круиз	noun	B1	[kruːz]	They went on a cruise in summer.	Летом они отправились в круиз.	Cruise почти как “круиз”.	travel	cruises
core5000	core5000:cue:noun:1	cue	сигнал; подсказка	noun	B2	[kjuː]	The actor waited for his cue.	Актёр ждал своего сигнала.	Cue = сигнал к действию или подсказка.	art,communication	cues
core5000	core5000:cultivate:verb:1	cultivate	выращивать; развивать	verb	B2	[ˈkʌltɪveɪt]	They cultivate vegetables on the farm.	Они выращивают овощи на ферме.	Cultivate = выращивать растения или развивать навык/отношение.	nature,education	cultivates,cultivated,cultivating
core5000	core5000:cure:noun:1	cure	лекарство; лечить	noun	B1	[kjʊə]	Scientists are looking for a cure.	Учёные ищут лекарство.	Cure = лекарство/излечение, а как verb — лечить.	health,science	cures
core5000	core5000:curiosity:noun:1	curiosity	любопытство	noun	B1	[ˌkjʊəriˈɒsəti]	Curiosity helps people learn.	Любопытство помогает людям учиться.	Curiosity связано с curious — любопытный.	education,emotions	
core5000	core5000:curriculum:noun:1	curriculum	учебная программа	noun	B2	[kəˈrɪkjələm]	The curriculum includes speaking practice.	Учебная программа включает разговорную практику.	Curriculum = учебный план/программа.	education	curricula
core5000	core5000:cursor:noun:1	cursor	курсор	noun	B1	[ˈkɜːsə]	Move the cursor to the end of the line.	Перемести курсор в конец строки.	Cursor почти как “курсор”.	IT	cursors
core5000	core5000:customary:adjective:1	customary	обычный; принятый	adjective	B2	[ˈkʌstəməri]	It is customary to shake hands.	Принято пожимать руки.	Customary связано с custom — обычай.	society,communication	
core5000	core5000:custody:noun:1	custody	опека; содержание под стражей	noun	B2	[ˈkʌstədi]	The child is in his mother's custody.	Ребёнок находится под опекой матери.	Custody = опека или официальный контроль/задержание.	society,family	
core5000	core5000:database:noun:1	database	база данных	noun	A2	[ˈdeɪtəbeɪs]	The website stores words in a database.	Сайт хранит слова в базе данных.	Database = data + base: база данных.	IT	databases
core5000	core5000:deadline:noun:1	deadline	крайний срок	noun	B1	[ˈdedlaɪn]	The deadline is Friday.	Крайний срок — пятница.	Deadline = крайняя дата сдачи задачи.	work,education	deadlines
core5000	core5000:decade:noun:1	decade	десятилетие	noun	B1	[ˈdekeɪd]	The city changed a lot in one decade.	Город сильно изменился за одно десятилетие.	Decade = период в 10 лет.	time,history	decades
core5000	core5000:decisive:adjective:1	decisive	решающий	adjective	B2	[dɪˈsaɪsɪv]	That was the decisive moment.	Это был решающий момент.	Decisive связано с decide/decision.	communication,work	
core5000	core5000:deck:noun:1	deck	палуба; колода	noun	B1	[dek]	They stood on the ship's deck.	Они стояли на палубе корабля.	Deck = палуба, колода карт или набор слайдов.	travel,daily life	decks
core5000	core5000:declaration:noun:1	declaration	заявление; декларация	noun	B2	[ˌdekləˈreɪʃən]	The declaration was signed yesterday.	Декларация была подписана вчера.	Declaration почти как “декларация”; связано с declare.	society,work	declarations
core5000	core5000:decorate:verb:1	decorate	украшать	verb	A2	[ˈdekəreɪt]	They decorated the room for the party.	Они украсили комнату к вечеринке.	Decorate почти как “декорировать”.	home,art	decorates,decorated,decorating
core5000	core5000:decrease:noun:1	decrease	уменьшение; уменьшаться	noun	B1	[ˈdiːkriːs]	There was a decrease in sales.	Произошло снижение продаж.	Decrease = opposite of increase: уменьшение/снижение.	business,science	decreases
core5000	core5000:dedicate:verb:1	dedicate	посвящать	verb	B2	[ˈdedɪkeɪt]	She dedicated the book to her parents.	Она посвятила книгу своим родителям.	Dedicate = посвятить кому-то или чему-то.	art,people	dedicates,dedicated,dedicating
core5000	core5000:deem:verb:1	deem	считать; полагать	verb	B2	[diːm]	The plan was deemed too expensive.	План сочли слишком дорогим.	Deem = считать/признавать в формальном стиле.	work,communication	deems,deemed,deeming
core5000	core5000:default:noun:1	default	стандартный; по умолчанию	noun	B1	[dɪˈfɔːlt]	Use the default settings.	Используй настройки по умолчанию.	Default = значение по умолчанию. В IT очень частое слово.	IT	defaults
core5000	core5000:defect:noun:1	defect	дефект; недостаток	noun	B2	[ˈdiːfekt]	The product has a small defect.	У товара есть небольшой дефект.	Defect почти как “дефект”.	shopping,technology	defects
core5000	core5000:defensive:adjective:1	defensive	оборонительный; защитный	adjective	B2	[dɪˈfensɪv]	The team used a defensive strategy.	Команда использовала оборонительную стратегию.	Defensive связано с defend — защищать.	sport,communication	
core5000	core5000:deficiency:noun:1	deficiency	недостаток; дефицит	noun	B2	[dɪˈfɪʃənsi]	Vitamin deficiency can cause problems.	Дефицит витаминов может вызвать проблемы.	Deficiency = нехватка/дефицит чего-то нужного.	health,science	deficiencies
core5000	core5000:deliberate:adjective:1	deliberate	преднамеренный; обдуманный	adjective	B2	[dɪˈlɪbərət]	It was a deliberate choice.	Это был осознанный выбор.	Deliberate = сделанный намеренно и после обдумывания.	communication,work	
core5000	core5000:delicate:adjective:1	delicate	деликатный; хрупкий	adjective	B2	[ˈdelɪkət]	This is a delicate situation.	Это деликатная ситуация.	Delicate похоже на “деликатный”, также значит хрупкий.	communication,emotions	
core5000	core5000:delight:noun:1	delight	восторг; радовать	noun	B2	[dɪˈlaɪt]	The news filled her with delight.	Новость наполнила её восторгом.	Delight = сильная радость/восторг.	emotions,people	
core5000	core5000:demonstration:noun:1	demonstration	демонстрация	noun	B1	[ˌdemənˈstreɪʃən]	The teacher gave a demonstration.	Учитель провёл демонстрацию.	Demonstration связано с demonstrate — показывать.	education,society	demonstrations
core5000	core5000:density:noun:1	density	плотность	noun	B2	[ˈdensəti]	Population density is high in the city.	Плотность населения в городе высокая.	Density связано с dense — плотный.	science,society	densities
core5000	core5000:departure:noun:1	departure	отъезд; отправление	noun	A2	[dɪˈpɑːtʃə]	Check the departure time.	Проверь время отправления.	Departure связано с depart — отправляться.	travel,time	departures
core5000	core5000:deposit:noun:1	deposit	депозит; взнос	noun	B1	[dɪˈpɒzɪt]	You need to pay a deposit.	Нужно внести депозит.	Deposit почти как “депозит”; также залог/первый взнос.	money,travel	deposits
core5000	core5000:descendant:noun:1	descendant	потомок	noun	B2	[dɪˈsendənt]	He is a descendant of the founder.	Он потомок основателя.	Descendant = потомок. Пара: ancestor — descendant.	family,history	descendants
core5000	core5000:desirable:adjective:1	desirable	желательный	adjective	B2	[dɪˈzaɪərəbəl]	Experience is desirable but not required.	Опыт желателен, но не обязателен.	Desirable связано с desire — желание.	work,communication	
core5000	core5000:desktop:noun:1	desktop	рабочий стол; настольный	noun	A2	[ˈdesktɒp]	Save the file on the desktop.	Сохрани файл на рабочем столе.	Desktop = desk + top: поверхность стола, затем экран рабочего стола.	IT	desktops
core5000	core5000:destination:noun:1	destination	пункт назначения	noun	A2	[ˌdestɪˈneɪʃən]	Paris was our final destination.	Париж был нашим конечным пунктом назначения.	Destination = место, куда направляются.	travel	destinations
core5000	core5000:detain:verb:1	detain	задерживать	verb	B2	[dɪˈteɪn]	The police detained the suspect.	Полиция задержала подозреваемого.	Detain = официально задержать.	society	detains,detained,detaining
core5000	core5000:detection:noun:1	detection	обнаружение	noun	B2	[dɪˈtekʃən]	Early detection is important.	Раннее обнаружение важно.	Detection связано с detect — обнаруживать.	health,IT	
core5000	core5000:determination:noun:1	determination	решимость; определение	noun	B2	[dɪˌtɜːmɪˈneɪʃən]	Her determination helped her succeed.	Её решимость помогла ей добиться успеха.	Determination связано с determine: определить или твёрдо решить.	emotions,work	
core5000	core5000:developer:noun:1	developer	разработчик	noun	A2	[dɪˈveləpə]	The developer fixed the bug.	Разработчик исправил ошибку.	Developer = develop + -er: тот, кто разрабатывает.	IT,work	developers
core5000	core5000:devote:verb:1	devote	посвящать	verb	B2	[dɪˈvəʊt]	He devoted his life to science.	Он посвятил жизнь науке.	Devote = посвящать время/жизнь/силы чему-то.	work,education	devotes,devoted,devoting
core5000	core5000:diagnose:verb:1	diagnose	диагностировать	verb	B2	[ˈdaɪəɡnəʊz]	The doctor diagnosed the illness.	Врач диагностировал болезнь.	Diagnose почти как “диагностировать”.	health,science	diagnoses,diagnosed,diagnosing
core5000	core5000:diagram:noun:1	diagram	диаграмма; схема	noun	B1	[ˈdaɪəɡræm]	Draw a diagram of the process.	Нарисуй схему процесса.	Diagram почти как “диаграмма”.	education,IT	diagrams
core5000	core5000:dialect:noun:1	dialect	диалект	noun	B2	[ˈdaɪəlekt]	They speak a local dialect.	Они говорят на местном диалекте.	Dialect почти как “диалект”.	language,society	dialects
core5000	core5000:diameter:noun:1	diameter	диаметр	noun	B2	[daɪˈæmɪtə]	Measure the diameter of the circle.	Измерь диаметр круга.	Diameter почти как “диаметр”.	science,education	diameters
core5000	core5000:differ:verb:1	differ	отличаться	verb	B1	[ˈdɪfə]	The two versions differ slightly.	Две версии немного отличаются.	Differ связано с different/difference.	education,communication	differs,differed,differing
core5000	core5000:dimension:noun:1	dimension	измерение; размер	noun	B2	[daɪˈmenʃən]	The image has the wrong dimensions.	У изображения неправильные размеры.	Dimension = измерение или размер.	IT,science	dimensions
core5000	core5000:diploma:noun:1	diploma	диплом	noun	B1	[dɪˈpləʊmə]	She received her diploma in June.	Она получила диплом в июне.	Diploma почти как “диплом”.	education,work	diplomas
core5000	core5000:diplomat:noun:1	diplomat	дипломат	noun	B2	[ˈdɪpləmæt]	The diplomat met foreign officials.	Дипломат встретился с иностранными чиновниками.	Diplomat почти как “дипломат”.	society,work	diplomats
core5000	core5000:directory:noun:1	directory	каталог; справочник	noun	B1	[dəˈrektəri]	Open the project directory.	Открой каталог проекта.	Directory = каталог файлов или справочник.	IT,work	directories
core5000	core5000:disable:verb:1	disable	отключать	verb	B1	[dɪsˈeɪbəl]	Disable the plugin temporarily.	Временно отключи плагин.	Disable = dis- + able: сделать недоступным/отключить.	IT	disables,disabled,disabling
