source	source_key	text	translate	type	level	transcription	example	example_ru	memory_hint	topics	forms
core5000	core5000:military:adjective:1	military	военный	adjective	B1	[ˈmɪlətri]	He works at a military base.	Он работает на военной базе.	Military связано с militia / милитаризм: военная сфера.	society,work	
core5000	core5000:million:number:1	million	миллион	number	A1	[ˈmɪljən]	The city has two million people.	В городе два миллиона человек.	Million почти как “миллион”.	money,education	millions
core5000	core5000:mind:noun:1	mind	ум; сознание	noun	A2	[maɪnd]	Keep this rule in mind.	Держи это правило в уме.	Mind = ум/сознание. Полезная фраза: keep in mind — иметь в виду.	body,education	minds
core5000	core5000:mirror:noun:1	mirror	зеркало	noun	A2	[ˈmɪrə]	She looked in the mirror.	Она посмотрела в зеркало.	Mirror = зеркало. Полезная фраза: look in the mirror — смотреться в зеркало.	home,daily life	mirrors
core5000	core5000:miss:verb:1	miss	скучать; пропускать	verb	A1	[mɪs]	I miss my family.	Я скучаю по семье.	Miss имеет несколько значений: скучать, пропустить, промахнуться. I miss you — я скучаю по тебе.	emotions,daily life	misses,missed,missing
core5000	core5000:model:noun:1	model	модель	noun	A1	[ˈmɒdəl]	This is a new car model.	Это новая модель машины.	Model почти как “модель”. В IT model часто значит модель данных или модель в MVC.	technology,IT,work	models
core5000	core5000:modern:adjective:1	modern	современный	adjective	A1	[ˈmɒdən]	This is a modern building.	Это современное здание.	Modern почти как “модерн/модерный”: современный.	city,technology	
core5000	core5000:moment:noun:1	moment	момент	noun	A1	[ˈməʊmənt]	Wait a moment, please.	Подожди момент, пожалуйста.	Moment почти как “момент”.	time,daily life	moments
core5000	core5000:movement:noun:1	movement	движение	noun	A2	[ˈmuːvmənt]	The movement of the car was slow.	Движение машины было медленным.	Movement = move + -ment. Move — двигаться, movement — движение.	body,transport	movements
core5000	core5000:muscle:noun:1	muscle	мышца	noun	B1	[ˈmʌsəl]	This exercise builds muscle.	Это упражнение развивает мышцы.	Muscle = мышца. Буква c в середине не произносится.	body,health	muscles
core5000	core5000:nation:noun:1	nation	нация; народ	noun	B1	[ˈneɪʃən]	The whole nation watched the game.	Вся нация смотрела игру.	Nation почти как “нация”. National = национальный, international = международный.	society,people	nations
